question,url_a
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg
seguro,https://contribua.org/bairros/oeste/catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Capitao_Joao_de_Sa__45__180.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Capitao_Joao_de_Sa__45__180.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Acre__635_270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Acre__635_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__90.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_0.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_0.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__180.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__180.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__180.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__180.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_90.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__0.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_180.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_180.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Aluisio_Cunha_Linha__50__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Aluisio_Cunha_Linha__50__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_270.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_180.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_180.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__180.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__180.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Sergipe__1337_90.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Sergipe__1337_90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__0.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_270.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_0.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_0.jpg
